ID,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID
HPPT3,Plankton tows,#134,NP,150-250,fragment,blue,54.97,no,tiny**,
HPPT3,Plankton tows,#135,NP,150-250,fragment,blue,35.42,no,tiny**,
HPPT3,Plankton tows,#136,NP,150-250,fragment,blue,34.38,no,tiny**,
HPPT3,Plankton tows,#137,NP,150-250,fragment,blue,44.98,no,tiny**,
HPPT3,Plankton tows,#138,NP,150-250,fragment,blue,66.7,no,tiny**,
HPPT3,Plankton tows,#139,NP,150-250,fragment,blue,52.83,no,tiny**,
HPPT3,Plankton tows,#140,NP,150-250,fragment,blue,28,no,tiny**,
HPPT3,Plankton tows,#141,NP,150-250,fragment,blue,23.48,no,tiny**,
HPPT3,Plankton tows,#142,NP,150-250,fragment,blue,92.21,no,tiny**,
HPPT3,Plankton tows,#143,NP,150-250,fragment,blue,42.42,no,tiny**,
HPPT3,Plankton tows,#144,NP,150-250,fragment,blue,61.89,no,tiny**,
HPPT3,Plankton tows,#145,NP,150-250,fragment,blue,58.6,no,tiny**,
HPPT3,Plankton tows,#146,NP,150-250,fragment,blue,49.67,no,tiny**,
HPPT3,Plankton tows,#147,NP,150-250,fragment,blue,24.97,no,tiny**,
HPPT3,Plankton tows,#148,NP,150-250,fragment,blue,31.18,no,tiny**,
HPPT3,Plankton tows,99,NP,150-250,fibre,clear,969.11,yes,,Polyester
HPPT3,Plankton tows,100,NP,150-250,fragment,blue,1009.44,yes,,Plastics Dye
HPPT3,Plankton tows,101,NP,150-250,fibre,clear,659.03,yes,,Polyester
HPPT3,Plankton tows,#149,NP,150-250,fragment,blue,65.03,no,tiny**,
HPPT3,Plankton tows,102,NP,150-250,fragment,blue,118.25,yes,,
HPPT3,Plankton tows,#150,NP,150-250,fragment,blue,33.49,no,tiny**,
HPPT3,Plankton tows,#151,NP,150-250,fragment,blue,39.22,no,tiny**,
HPPT3,Plankton tows,#152,NP,150-250,fragment,blue,54.93,no,tiny**,
HPPT3,Plankton tows,#153,NP,150-250,fragment,blue,59.9,no,tiny**,
HPPT3,Plankton tows,#154,NP,150-250,fragment,blue,60.89,no,tiny**,
HPPT3,Plankton tows,#155,NP,150-250,fragment,blue,63.16,no,tiny**,
HPPT3,Plankton tows,103,NP,150-250,fragment,blue,124.29,yes,,
HPPT3,Plankton tows,#156,NP,150-250,fragment,blue,30.12,no,tiny**,
HPPT3,Plankton tows,#157,NP,150-250,fragment,blue,47.28,no,tiny**,
HPPT3,Plankton tows,#158,NP,150-250,fragment,blue,20.29,no,tiny**,
HPPT4,Plankton tows,104,NP,150-250,fragment,blue,120.38,yes,,
HPPT4,Plankton tows,#159,NP,150-250,fragment,blue,69.16,no,tiny**,
HPPT4,Plankton tows,#160,NP,150-250,fragment,blue,35.3,no,tiny**,
HPPT4,Plankton tows,#161,NP,150-250,fragment,blue,99.06,no,tiny**,
