ID,site,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID,blank.match,user.id
EBCU15,Elliot Bay,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,12,NA
EBCU16,Elliot Bay,Sea Cucumbers,493,NP,1-150,fibre,clear,822.51,yes,,Polyester,12,N
EBCU2,Elliot Bay,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,12,NA
EBCU3,Elliot Bay,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,12,NA
EBCU6,Elliot Bay,Sea Cucumbers,484,NP,1-150,fibre,pink,386.13,yes,"Good modal sigNAture, physically looks like rayon",Rayon,12,S
EBCU7,Elliot Bay,Sea Cucumbers,485,NP,1-150,fibre,red,630.03,yes,,Polyester,12,S
EBCU8,Elliot Bay,Sea Cucumbers,494,NP,1-150,fibre,black,887.04,yes,,Polyester,12,S
EBCU8,Elliot Bay,Sea Cucumbers,495,NP,1-150,fibre,black,465.21,yes,,Polyester,12,S
EBCU8,Elliot Bay,Sea Cucumbers,496,NP,1-150,fibre,red,3366.18,yes,,Polyester,12,S
EBCUB1,Elliot Bay,Blanks,490,NP,1-150,fibre,black,422.55,yes,,Polyester,12,S
EBCUB1,Elliot Bay,Blanks,491,NP,1-150,fibre,blue,522.25,yes,,Polyester,12,S
EBCUB2,Elliot Bay,Blanks,492,NP,1-150,fibre,clear,435.39,yes,Too much fluorescence to get a good sigNAture,Unknown,12,S
HPCU1,Victoria Harbour,Sea Cucumbers,131,NP,>150,fibre,orange,1141.48,yes,,Unknown,14,S
HPCU1,Victoria Harbour,Sea Cucumbers,133,NP,>150,fibre,blue,584.98,yes,,Cellulose,14,N
HPCU1,Victoria Harbour,Sea Cucumbers,134,NP,>150,fibre,clear,234.77,yes,Really good match to modal and physical structure looks like rayon,Rayon,14,N
HPCU1,Victoria Harbour,Sea Cucumbers,135,NP,>150,fibre,black,740.03,yes,,Cellulose,14,N
HPCU1,Victoria Harbour,Sea Cucumbers,136,NP,>150,fibre,red,5230.96,yes,,Cellulose,14,N
HPCU1,Victoria Harbour,Sea Cucumbers,139,NP,>150,fibre,blue,171.61,yes,,Polyester,14,S
HPCU10,Victoria Harbour,Sea Cucumbers,182,NP,>150,fibre,purple,235.66,yes,,Cellulose,14,N
HPCU10,Victoria Harbour,Sea Cucumbers,184,NP,>150,fibre,pink,795.95,yes,Can't get a good spectra,Unknown,14,S
HPCU11,Victoria Harbour,Sea Cucumbers,NA,NA,NA,NA,NA,NA,NA,,,14,NA
HPCU12,Victoria Harbour,Sea Cucumbers,188,NP,>150,fibre,red,874.49,yes,,Nylon,14,S
HPCU12,Victoria Harbour,Sea Cucumbers,189,NP,>150,fibre,red,851.48,yes,,Cellulose,14,N
HPCU12,Victoria Harbour,Sea Cucumbers,190,NP,>150,fibre,blue,181.25,yes,Looks kind of like acrylic if carbon peak is excluded,Cellulose,14,N
HPCU13,Victoria Harbour,Sea Cucumbers,191,NP,>150,fibre,pink,2659.06,yes,,Cellulose,14,N
HPCU13,Victoria Harbour,Sea Cucumbers,192,NP,>150,fibre,blue,448.84,yes,,Cellulose,14,N
HPCU13,Victoria Harbour,Sea Cucumbers,193,NP,>150,fibre,blue,406.65,yes,Probably denim,Cellulose,14,N
HPCU14,Victoria Harbour,Sea Cucumbers,194,NP,>150,fibre,clear,442.93,yes,,Polyester,14,S
HPCU14,Victoria Harbour,Sea Cucumbers,195,NP,>150,fibre,green,159.58,yes,Can't get a good spectra,Unknown,14,N
HPCU14,Victoria Harbour,Sea Cucumbers,196,NP,>150,fibre,clear,510.09,yes,Can't get a good spectra,Unknown,14,N
HPCU14,Victoria Harbour,Sea Cucumbers,197,NP,>150,fibre,blue,366.67,yes,,Cellulose,14,S
HPCU14,Victoria Harbour,Sea Cucumbers,198,NP,>150,fibre,black,664.03,yes,,Polyester,14,N
HPCU14,Victoria Harbour,Sea Cucumbers,200,NP,>150,fibre,pink,792.17,yes,,Cellulose,14,N
HPCU15,Victoria Harbour,Sea Cucumbers,NA,NA,NA,NA,NA,NA,NA,,,14,NA
HPCU2,Victoria Harbour,Sea Cucumbers,141,NP,>150,fibre,blue,748.2,yes,Probably denim,Cellulose,14,N
HPCU2,Victoria Harbour,Sea Cucumbers,142,NP,>150,fibre,black,151.18,yes,Can't get a good spectra without burning,Unknown,14,S
HPCU2,Victoria Harbour,Sea Cucumbers,144,NP,>150,fibre,green,1042.58,yes,,Cellulose,14,N
HPCU2,Victoria Harbour,Sea Cucumbers,#255,NP,>150,fibre,black,1035.64,no,dropped,,14,N
HPCU2,Victoria Harbour,Sea Cucumbers,#257,NP,>150,fibre,black,693.98,yes,,,14,N
HPCU2,Victoria Harbour,Sea Cucumbers,,NP,>150,fibre,pink,1160.98,no,"dropped, bounced",,14,N
HPCU2,Victoria Harbour,Sea Cucumbers,146,NP,>150,fibre,blue,883.98,yes,Probably denim,,14,N
HPCU2,Victoria Harbour,Sea Cucumbers,147,NP,>150,fibre,black,361.42,yes,,Cellulose,14,N
HPCU3,Victoria Harbour,Sea Cucumbers,148,NP,>150,fibre,pink,253.92,yes,,Cellulose,14,N
HPCU3,Victoria Harbour,Sea Cucumbers,150,NP,>150,fibre,blue,101.79,yes,Could not find for Raman,,14,N
HPCU3,Victoria Harbour,Sea Cucumbers,151,NP,>150,fibre,black,2164.39,yes,,Polyester,14,S
HPCU3,Victoria Harbour,Sea Cucumbers,#265,NP,>150,fibre,red,428.17,no,dropped,,14,S
HPCU4,Victoria Harbour,Sea Cucumbers,152,NP,>150,fibre,black,901.57,yes,,Cellulose,14,N
HPCU4,Victoria Harbour,Sea Cucumbers,153,NP,>150,fibre,blue,2594.65,yes,Looks kind of like acrylic if carbon peak is excluded,Cellulose,14,N
HPCU5,Victoria Harbour,Sea Cucumbers,154,NP,>150,fibre,blue,321.13,yes,,Cellulose,14,N
HPCU5,Victoria Harbour,Sea Cucumbers,156,NP,>150,fibre,blue,889.83,yes,,Cellulose,14,N
HPCU5,Victoria Harbour,Sea Cucumbers,158,NP,>150,fibre,green,1067.86,yes,Could not find for Raman,,14,N
HPCU5,Victoria Harbour,Sea Cucumbers,160,NP,>150,fibre,black,917.27,yes,,Cellulose,14,S
HPCU6,Victoria Harbour,Sea Cucumbers,163,NP,>150,fibre,clear,1655.43,yes,,Polyester,14,S
HPCU6,Victoria Harbour,Sea Cucumbers,166,NP,>150,fibre,pink,1067.94,yes,,Cellulose,14,N
HPCU6,Victoria Harbour,Sea Cucumbers,168,NP,>150,fibre,blue,1548.56,yes,,Cellulose,14,N
HPCU6,Victoria Harbour,Sea Cucumbers,169,NP,>150,fibre,red,736.66,yes,,Cellulose,14,N
HPCU6,Victoria Harbour,Sea Cucumbers,170,NP,>150,fibre,blue,674.53,yes,Looks kind of like acrylic if carbon peak is excluded,Cellulose,14,N
HPCU6,Victoria Harbour,Sea Cucumbers,171,NP,>150,fibre,blue,1304.2,yes,,Cellulose,14,N
HPCU6,Victoria Harbour,Sea Cucumbers,172,NP,>150,fibre,black,417.84,yes,,Cellulose,14,N
HPCU6,Victoria Harbour,Sea Cucumbers,173,NP,>150,fibre,blue,727.75,yes,,Cellulose,14,N
HPCU7,Victoria Harbour,Sea Cucumbers,174,NP,>150,fibre ,clear,1353.25,yes,,Polyester,14,S
HPCU7,Victoria Harbour,Sea Cucumbers,175,NP,>150,fibre,blue,228.5,yes,Could not find for Raman,,14,N
HPCU7,Victoria Harbour,Sea Cucumbers,#298,NP,>150,fibre,clear,373.1,no,dropped,,14,N
HPCU7,Victoria Harbour,Sea Cucumbers,176,NP,>150,fibre,blue,323.88,yes,Looks kind of like acrylic if carbon peak is excluded,Cellulose,14,N
HPCU7,Victoria Harbour,Sea Cucumbers,#300,NP,>150,fibre,blue,595.04,no,dropped,,14,N
HPCU7,Victoria Harbour,Sea Cucumbers,#302,NP,>150,fibre,black,268.34,no,"dropped, bounced",,14,S
HPCU8,Victoria Harbour,Sea Cucumbers,177,NP,>150,fibre,purple,711.72,yes,Looks kind of like acrylic if carbon peak is excluded,Cellulose,14,N
HPCU8,Victoria Harbour,Sea Cucumbers,#307,NP,>150,fibre,red,608.32,no,dropped,,14,N
HPCU8,Victoria Harbour,Sea Cucumbers,178,NP,>150,fibre,black,1413.86,yes,,Cellulose,14,N
HPCU9,Victoria Harbour,Sea Cucumbers,NA,NA,NA,NA,NA,NA,NA,,,14,NA
HPCUB1,Victoria Harbour,Blanks,205,NP,>150,fibre,blue,1663.56,yes,,Cellulose,14,N
HPCUB2,Victoria Harbour,Blanks,NA,NA,>150,NA,NA,NA,NA,,,14,NA
HPCUB3,Victoria Harbour,Blanks,213,NP,>150,fibre,red,2077.43,yes,,Cellulose,14,N
HPCU1,Victoria Harbour,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,15,NA
HPCU10,Victoria Harbour,Sea Cucumbers,502,NP,1-150,fibre,clear,351.52,yes,,Cellulose,14,S
HPCU11,Victoria Harbour,Sea Cucumbers,503,NP,1-150,fibre,clear,4950.58,yes,,Acrylic,14,S
HPCU11,Victoria Harbour,Sea Cucumbers,504,NP,1-150,fibre,black,433.16,yes,,Polyester,14,S
HPCU11,Victoria Harbour,Sea Cucumbers,505,NP,1-150,fibre,black,285.71,yes,,Cellulose,14,S
HPCU13,Victoria Harbour,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,14,NA
HPCU15,Victoria Harbour,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,14,NA
HPCU2,Victoria Harbour,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,14,NA
HPCU5,Victoria Harbour,Sea Cucumbers,497,NP,1-150,fibre,clear,1714.76,yes,,Polyester,14,S
HPCU6,Victoria Harbour,Sea Cucumbers,NA,NP,1-150,NA,NA,NA,NA,,,14,NA
HPCU7,Victoria Harbour,Sea Cucumbers,498,NP,1-150,fibre,clear,231.68,yes,,Mineral,14,S
HPCU7,Victoria Harbour,Sea Cucumbers,499,NP,1-150,fibre,green,440.76,yes,,Acrylic,14,S
HPCU8,Victoria Harbour,Sea Cucumbers,500,NP,1-150,fibre,clear,570.29,yes,,Polyester,14,S
HPCU8,Victoria Harbour,Sea Cucumbers,501,NP,1-150,fibre,purple,604.34,yes,,Polyester,14,S
HPCU9,Victoria Harbour,Sea Cucumbers,NA,NA,1-150,NA,NA,NA,NA,,,14,NA
HPCUB1,Victoria Harbour,Blanks,NA,NP,1-150,NA,NA,NA,NA,,,14,NA
HPCUB2,Victoria Harbour,Blanks,NA,NP,1-150,NA,NA,NA,NA,,,14,NA
CBCU1,Coles Bay,Sea Cucumbers,1048,BB,1-150,fiber,pink,530.42,yes,,,10,N
CBCU1,Coles Bay,Sea Cucumbers,1049,BB,1-150,fiber,black,1417.57,yes,,,10,S
CBCU2,Coles Bay,Sea Cucumbers,1050,BB,1-150,fiber,blue,744.15,yes,,,10,S
CBCU3,Coles Bay,Sea Cucumbers,NA,BB,1-150,NA,NA,NA,NA,,,10,NA
CBCUPB3,Coles Bay,Blanks,1051,BB,1-150,fiber,pink,893.22,yes,,,10,S
CBCUPB3,Coles Bay,Blanks,1052,BB,1-150,fiber,blue,659.19,?,,,10,S
EBCU4,Elliot Bay,Sea Cucumbers,1052,BB,1-150,fiber,clear,1532.38,yes,,,12,N
EBCU4,Elliot Bay,Sea Cucumbers,1053,BB,1-150,fiber,green,573.43,no,dropped,,12,S
EBCU5,Elliot Bay,Sea Cucumbers,NA,BB,1-150,NA,NA,NA,NA,,,12,NA
EBCU9,Elliot Bay,Sea Cucumbers,NA,BB,1-150,NA,NA,NA,NA,,,12,NA
EBCU10,Elliot Bay,Sea Cucumbers,NA,BB,1-150,NA,NA,NA,NA,,,12,NA
EBCUPB3,Elliot Bay,Blanks,NA,BB,1-150,NA,NA,NA,NA,,,12,NA
HPCU3,Victoria Harbour,Sea Cucumbers,1053,BB,1-150,fiber,blue,2317.02,yes,,,14,S
HPCU4,Victoria Harbour,Sea Cucumbers,1054,BB,1-150,fiber,pink,1494.22,yes,,,14,N
HPCU4,Victoria Harbour,Sea Cucumbers,1055,BB,1-150,fiber,blue,933.54,yes,,,14,N
HPCU9,Victoria Harbour,Sea Cucumbers,NA,BB,1-150,NA,NA,NA,NA,,,14,NA
HPCU12,Victoria Harbour,Sea Cucumbers,1056,BB,1-150,fiber,clear,1668.51,yes,,,14,N
HPCU14,Victoria Harbour,Sea Cucumbers,NA,BB,1-150,NA,NA,NA,NA,,,14,NA
HPCUPB3,Victoria Harbour,Blanks,NA,BB,1-150,NA,NA,NA,NA,,,14,NA
CBCU7,Coles Bay,Sea Cucumbers,NA,GC,1-150,NA,NA,NA,NA,,,10,NA
CBCU13,Coles Bay,Sea Cucumbers,NA,GC,1-150,NA,NA,NA,NA,,,10,NA
EBCU13,Elliot Bay,Sea Cucumbers,1078,GC,1-150,fiber,clear,477.99,yes,,,12,N
EBCU13,Elliot Bay,Sea Cucumbers,,GC,1-150,fiber,black,659.85,no,dropped,,12,N
EBCU13,Elliot Bay,Sea Cucumbers,1079,GC,1-150,fiber,clear,840.24,yes,,,12,N
EBCU13,Elliot Bay,Sea Cucumbers,1080,GC,1-150,fiber,black,801.28,yes,,,12,N
EBCU13,Elliot Bay,Sea Cucumbers,,GC,1-150,fiber,clear,943.31,no,dropped,,12,S
EBCU13,Elliot Bay,Sea Cucumbers,,GC,1-150,fiber,black,469.82,no,dropped,,12,N
EBCU13,Elliot Bay,Sea Cucumbers,,GC,1-150,fiber,black,452.79,no,dropped,,12,N
